,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
28,BBC,Tue Mar 20 16:05:04 +0000 2018,"Arise, Sir Ringo! 🎖🎶@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",0.0,0.0,1.0,0.0,29
29,BBC,Tue Mar 20 15:33:03 +0000 2018,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,0.0,0.0,1.0,0.0,30
30,BBC,Tue Mar 20 15:03:02 +0000 2018,"'Everybody has a voice'. ❤️️🎶

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",0.4084,0.132,0.868,0.0,31
31,BBC,Tue Mar 20 14:24:06 +0000 2018,📸The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,0.6369,0.259,0.741,0.0,32
32,BBC,Tue Mar 20 14:03:04 +0000 2018,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. 🍰🍋💍… https://t.co/H7dWlxmYcR,0.0,0.0,1.0,0.0,33
33,BBC,Tue Mar 20 13:16:25 +0000 2018,"RT @BBCWalesNews: 🎟🎞🍿Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3",0.2235,0.119,0.881,0.0,34
34,BBC,Tue Mar 20 13:02:01 +0000 2018,"People always have an opinion. 🙄😂 Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI",-0.4023,0.0,0.838,0.162,35
35,BBC,Tue Mar 20 11:03:23 +0000 2018,"From a spot of spring cleaning to rolling cheese down a hill... 🕸🧀🌱

Here are nine ways to celebrate spring!… https://t.co/ujBmBsHast",0.6114,0.182,0.818,0.0,36
36,BBC,Tue Mar 20 10:30:04 +0000 2018,"Sudan, the world's last surviving male northern white rhino has died after months of ill health. 💔🦏… https://t.co/BnYne3cI2L",-0.6369,0.093,0.636,0.271,37
37,BBC,Tue Mar 20 10:04:02 +0000 2018,"This #InternationalDayOfHappiness, let's all try to be a little more like @chessmartinez. 😊👏#LiveAtTheApollo 

https://t.co/VddL8zWJfS",0.3642,0.173,0.827,0.0,38
38,BBC,Tue Mar 20 09:49:33 +0000 2018,"RT @BBCOne: They've finally quacked the case.

https://t.co/eq4dLcauhe",0.0,0.0,1.0,0.0,39
39,BBC,Tue Mar 20 09:49:23 +0000 2018,"RT @BBCEarth: Sudan’s death leaves just two females of the subspecies alive in the world 
https://t.co/kCpRCxFaFY",-0.3182,0.127,0.683,0.19,40
40,BBC,Tue Mar 20 09:49:10 +0000 2018,RT @bbcthree: RuPaul is the first drag queen to get a Hollywood star. Sissy that Walk of Fame.  https://t.co/SmqOPQizh3 https://t.co/hWb1Xm…,0.25,0.133,0.78,0.087,41
41,BBC,Tue Mar 20 09:49:02 +0000 2018,"RT @BBCBreakfast: ❄️❄️BBRRR....Could it be the coldest day yet for the Spring Equinox?
Let us know what temp it is where you are today.  #S…",0.0,0.0,1.0,0.0,42
42,BBC,Tue Mar 20 09:32:02 +0000 2018,"Meet Bumblebee and Gnat, two adorable badger cubs being raised at an animal sanctuary. 😍
https://t.co/Ihami0VtL0",0.4939,0.186,0.814,0.0,43
43,BBC,Tue Mar 20 09:03:04 +0000 2018,Spring is here! But what is the #SpringEquinox? 🌺🌻🌸🌱https://t.co/RiWP3PC7Yo https://t.co/FIKocYFP6C,0.0,0.0,1.0,0.0,44
44,BBC,Tue Mar 20 08:25:06 +0000 2018,Five times Beyonce and Jay-Z’s daughter Blue Ivy outshone her parents. ⭐️ https://t.co/JaNAzsofOm https://t.co/DnoyApY0yL,0.0,0.0,1.0,0.0,45
45,BBC,Tue Mar 20 08:03:03 +0000 2018,Traditional Highland Games sports such as tossing the caber and tug-of-war are to be taught in PE lessons. 🏆… https://t.co/jv5wlpmlyT,0.0,0.0,1.0,0.0,46
46,BBC,Mon Mar 19 19:33:04 +0000 2018,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",-0.3818,0.0,0.89,0.11,47
47,BBC,Mon Mar 19 18:33:05 +0000 2018,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",0.1531,0.175,0.709,0.116,48
48,BBC,Mon Mar 19 18:03:01 +0000 2018,"😂📸 @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",-0.1027,0.0,0.92,0.08,49
49,BBC,Mon Mar 19 17:30:08 +0000 2018,🎤Pop band @FifthHarmony have announced they're taking a break to pursue solo careers 🎶https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,0.0,0.0,1.0,0.0,50
50,BBC,Mon Mar 19 17:00:05 +0000 2018,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",-0.7096,0.144,0.442,0.414,51
51,BBC,Mon Mar 19 16:33:29 +0000 2018,Here are the latest snow scenes from around the UK. ❄️📸 https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,0.0,0.0,1.0,0.0,52
52,BBC,Mon Mar 19 15:02:02 +0000 2018,'Flabbergasted'. 🎶This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,0.0,0.0,1.0,0.0,53
53,BBC,Mon Mar 19 14:30:08 +0000 2018,"Meet the dancing slum kids tipped for stardom by Rihanna 🎶
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",0.0,0.0,1.0,0.0,54
54,BBC,Mon Mar 19 13:44:55 +0000 2018,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! 🙌 

Yesterday we did an amazing 431 million steps – can we do even better…",0.6588,0.212,0.788,0.0,55
55,BBC,Mon Mar 19 13:03:04 +0000 2018,"💭 ""There's always that voice in the back of your head that says you're not good enough"". 

 💪 @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",-0.3412,0.0,0.888,0.112,56
56,BBC,Mon Mar 19 12:55:17 +0000 2018,RT @BBCRadioScot: This must have been some buzz! 🐝🐝🐝 https://t.co/0gqtbQBN1i,0.0,0.0,1.0,0.0,57
57,BBC,Mon Mar 19 12:30:05 +0000 2018,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,0.0,0.0,1.0,0.0,58
58,BBC,Mon Mar 19 11:50:58 +0000 2018,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,-0.0516,0.0,0.893,0.107,59
59,BBC,Mon Mar 19 11:33:04 +0000 2018,"Have you got a passion for plants? 🌿🌸🌱🍃🌷

Test your knowledge of all things foliage in this quiz. 👉… https://t.co/evogV5ljAc",0.4588,0.143,0.857,0.0,60
60,BBC,Mon Mar 19 10:53:19 +0000 2018,"RT @BBCSport: 🎉 The Commonwealth Games are almost upon us! 🎉

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…",0.0,0.0,1.0,0.0,61
61,BBC,Mon Mar 19 10:33:03 +0000 2018,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ❤️️🐶https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,0.5106,0.163,0.837,0.0,62
